,tweet_id,favorites,retweets
322,833124694597443584,21458,5290
323,832998151111966721,14150,2426
324,832769181346996225,0,40
325,832757312314028032,17882,3964
326,832682457690300417,12637,3206
327,832645525019123713,3101,567
328,832636094638288896,16868,3064
329,832397543355072512,12703,2433
330,832369877331693569,18218,3481
331,832273440279240704,12023,2552
332,832215909146226688,0,6780
333,832215726631055365,0,10275
334,832088576586297345,71,2
335,832040443403784192,0,10640
336,832032802820481025,18991,5101
337,831939777352105988,25542,6718
338,831926988323639298,362,36
339,831911600680497154,29455,7142
340,831670449226514432,11115,1991
341,831650051525054464,7634,2135
342,831552930092285952,9584,2513
343,831322785565769729,9764,1669
344,831315979191906304,6941,1223
345,831309418084069378,12464,2674
346,831262627380748289,12669,2250
347,830956169170665475,8497,1644
348,830583320585068544,71306,18488
349,830173239259324417,0,6268
350,830097400375152640,10481,3306
351,829878982036299777,0,5512
352,829861396166877184,13047,2149
353,829501995190984704,33830,11648
354,829449946868879360,11153,2224
355,829374341691346946,36933,10227
356,829141528400556032,26161,8140
357,829011960981237760,56516,17811
358,828801551087042563,0,3732
359,828770345708580865,27268,6463
360,828708714936930305,39068,12334
361,828650029636317184,10146,1479
362,828409743546925057,6705,1265
363,828408677031882754,8150,1409
364,828381636999917570,13479,2438
365,828376505180889089,7885,1169
366,828372645993398273,13374,3226
367,828361771580813312,2342,186
368,828046555563323392,12563,3149
369,828011680017821696,11061,2360
370,827933404142436356,21512,5740
371,827653905312006145,16478,3306
372,827600520311402496,7906,1042
373,827324948884643840,16974,3369
374,827199976799354881,11306,2464
375,826958653328592898,23086,5512
376,826848821049180160,39019,11276
377,826615380357632002,0,4340
378,826598799820865537,5469,281
379,826598365270007810,10765,2583
380,826476773533745153,19691,4620
381,826240494070030336,14184,2850
382,826204788643753985,5214,1028
383,826115272272650244,16760,3451
384,825876512159186944,11191,2054
385,825829644528148480,13623,2742
386,825535076884762624,55697,18958
387,825147591692263424,19568,5038
388,825120256414846976,0,1421
389,825026590719483904,6796,1421
390,824796380199809024,0,6049
391,824775126675836928,16018,3889
392,824663926340194305,10784,1918
393,824325613288833024,12612,11450
394,824297048279236611,16102,4263
395,824025158776213504,5110,651
396,823939628516474880,11414,2992
397,823719002937630720,0,12401
398,823699002998870016,13476,2664
399,823581115634085888,13967,2924
400,823333489516937216,750,29
401,823322678127919110,16893,4438
402,823269594223824897,0,10888
403,822975315408461824,18536,3795
404,822872901745569793,141961,48477
405,822859134160621569,14153,2517
406,822647212903690241,0,7079
407,822610361945911296,15841,3270
408,822489057087389700,19467,7079
409,822462944365645825,30607,16244
410,822244816520155136,37617,10888
411,822163064745328640,0,5315
412,821886076407029760,12187,2587
413,821813639212650496,0,3695
414,821765923262631936,9042,1843
415,821522889702862852,8606,1954
416,821421320206483457,0,6183
417,821407182352777218,12642,4817
418,821153421864615936,273,10
419,821149554670182400,9375,2223
420,821107785811234820,10311,2353
421,821044531881721856,13600,2533
422,820837357901512704,0,7398
423,820749716845686786,33898,10986
424,820690176645140481,13106,3562
425,820494788566847489,0,627
426,820446719150292993,0,2853
427,820314633777061888,3580,627
428,820078625395449857,21268,6945
429,820013781606658049,0,1307
430,819952236453363712,5716,1307
431,819924195358416896,13823,5355
432,819711362133872643,14467,3474
433,819588359383371776,10288,2181
434,819347104292290561,7764,1334
435,819238181065359361,2463,448
436,819227688460238848,24840,7398
437,819015337530290176,0,40562
438,819015331746349057,0,20931
439,819006400881917954,48526,20931
440,819004803107983360,92874,40562
441,818646164899774465,0,23102
442,818627210458333184,23877,8251
443,818614493328580609,10612,2861
444,818588835076603904,0,6815
445,818536468981415936,11741,2747
446,818307523543449600,0,9008
447,818259473185828864,11866,2536
448,818145370475810820,13222,2884
449,817908911860748288,5206,873
450,817827839487737858,55841,30065
451,817777686764523521,11510,2957
452,817536400337801217,12696,3362
453,817502432452313088,0,3761
454,817423860136083457,36873,16628
455,817415592588222464,6051,1072
456,817181837579653120,0,9444
457,817171292965273600,9397,2232
458,817120970343411712,13090,2905
459,817056546584727552,9227,1831
460,816829038950027264,0,5231
461,816816676327063552,10757,2258
462,816697700272001025,10563,2448
463,816450570814898180,32936,9008
464,816336735214911488,9264,2170
465,816091915477250048,9617,2388
466,816062466425819140,0,1162
467,816014286006976512,0,5895
468,815990720817401858,5384,1162
469,815966073409433600,24196,9444
470,815745968457060357,0,4590
471,815736392542261248,10605,2515
472,815639385530101762,8860,1833
473,815390420867969024,11150,4225
474,814986499976527872,8233,1435
475,814638523311648768,12171,3010
476,814578408554463233,0,6455
477,814530161257443328,9341,2060
478,814153002265309185,31018,9660
479,813944609378369540,0,3574
480,813910438903693312,10008,2095
481,813812741911748608,39186,15581
482,813800681631023104,9006,1958
483,813217897535406080,20165,8106
484,813202720496779264,9897,2001
485,813187593374461952,21390,4856
486,813172488309972993,10073,2127
487,813157409116065792,8362,2462
488,813142292504645637,9074,2625
489,813130366689148928,4819,492
490,813127251579564032,12796,3480
